date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:53	702/702	---M--	200	added ('OK')	image/svg+xml	etag:%222be-607431068fc0a%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/russia.svg	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/flags/russia.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
09:58:54	2483/2483	---M--	200	added ('OK')	image/svg+xml	etag:%229b3-607431068adea%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/china.svg	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/flags/china.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
09:58:55	428/428	---M--	200	added ('OK')	image/svg+xml	etag:%221ac-607431068cd2a%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/french.svg	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/flags/french.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
09:58:56	259/259	---M--	200	added ('OK')	image/svg+xml	etag:%22103-6074310689e4a%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/ae.svg	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/flags/ae.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
09:58:57	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/github.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/brands/github.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:58:58	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/bitbucket.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/brands/bitbucket.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:58:59	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/dribbble.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/brands/dribbble.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:00	772/772	---M--	200	added ('OK')	image/png	etag:%22304-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/dropbox.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/brands/dropbox.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:01	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/mail_chimp.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/brands/mail_chimp.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:02	2691/2691	---M--	200	added ('OK')	image/png	etag:%22a83-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/slack.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/brands/slack.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:03	217173/217173	---M-Z	200	added ('OK')	text/html	etag:%2235055-60743106571c9-gzip%22	https://themesbrand.com/velzon/html/modern/apps-ecommerce-products.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/apps-ecommerce-products.html	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:04	62563/62563	---M--	200	added ('OK')	image/png	etag:%22f463-60743106988aa%22	https://themesbrand.com/velzon/html/modern/assets/images/products/img-1.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/products/img-1.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:05	247276/247276	---M-Z	200	added ('OK')	text/html	etag:%223c5ec-60743106571c9-gzip%22	https://themesbrand.com/velzon/html/modern/apps-ecommerce-product-details.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/apps-ecommerce-product-details.html	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:06	54572/54572	---M--	200	added ('OK')	image/png	etag:%22d52c-60743106988aa%22	https://themesbrand.com/velzon/html/modern/assets/images/products/img-2.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/products/img-2.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:07	100267/100267	---M--	200	added ('OK')	image/png	etag:%22187ab-60743106988aa%22	https://themesbrand.com/velzon/html/modern/assets/images/products/img-3.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/products/img-3.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:08	73544/73544	---M--	200	added ('OK')	image/png	etag:%2211f48-60743106988aa%22	https://themesbrand.com/velzon/html/modern/assets/images/products/img-6.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/products/img-6.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:09	68652/68652	---M--	200	added ('OK')	image/png	etag:%2210c2c-60743106988aa%22	https://themesbrand.com/velzon/html/modern/assets/images/products/img-5.png	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/products/img-5.png	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:10	229876/229876	---M-Z	200	added ('OK')	text/html	etag:%22381f4-6074310655288-gzip%22	https://themesbrand.com/velzon/html/modern/apps-ecommerce-checkout.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/apps-ecommerce-checkout.html	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:11	9460/9460	---M--	200	added ('OK')	image/jpeg	etag:%2224f4-60743106a442a%22	https://themesbrand.com/velzon/html/modern/assets/images/users/avatar-8.jpg	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/users/avatar-8.jpg	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:12	11948/11948	---M--	200	added ('OK')	image/jpeg	etag:%222eac-60743106a442a%22	https://themesbrand.com/velzon/html/modern/assets/images/users/avatar-6.jpg	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/users/avatar-6.jpg	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:13	9022/9022	---M--	200	added ('OK')	image/jpeg	etag:%22233e-60743106a442a%22	https://themesbrand.com/velzon/html/modern/assets/images/users/avatar-1.jpg	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/assets/images/users/avatar-1.jpg	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:14	430698/430698	---M-Z	200	added ('OK')	text/html	etag:%226926a-607431074d34e-gzip%22	https://themesbrand.com/velzon/html/modern/pages-profile.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/pages-profile.html	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:15	227221/227221	---M-Z	200	added ('OK')	text/html	etag:%2237795-60743106523a8-gzip%22	https://themesbrand.com/velzon/html/modern/apps-chat.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/apps-chat.html	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:16	295497/295497	---M-Z	200	added ('OK')	text/html	etag:%2248249-6074310660e09-gzip%22	https://themesbrand.com/velzon/html/modern/apps-tasks-kanban.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/apps-tasks-kanban.html	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:17	208180/208180	---M-Z	200	added ('OK')	text/html	etag:%2232d34-607431074b40e-gzip%22	https://themesbrand.com/velzon/html/modern/pages-faqs.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/pages-faqs.html	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:18	239424/239424	---M-Z	200	added ('OK')	text/html	etag:%223a740-607431074d34e-gzip%22	https://themesbrand.com/velzon/html/modern/pages-profile-settings.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/pages-profile-settings.html	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:19	5926/5926	---M-Z	200	added ('OK')	text/html	etag:%221726-6074310732d6e-gzip%22	https://themesbrand.com/velzon/html/modern/auth-lockscreen-basic.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/auth-lockscreen-basic.html	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:20	5051/5051	---M-Z	200	added ('OK')	text/html	etag:%2213bb-6074310733d0e-gzip%22	https://themesbrand.com/velzon/html/modern/auth-logout-basic.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/auth-logout-basic.html	(from https://themesbrand.com/velzon/html/modern/index.html)
09:59:21	228795/228795	---M-Z	200	added ('OK')	text/html	etag:%2237dbb-607431073aa6e-gzip%22	https://themesbrand.com/velzon/html/modern/dashboard-analytics.html	/home/oem/websites/httrack/themesbrand.com/velzon/html/modern/dashboard-analytics.html	(from https://themesbrand.com/velzon/html/modern/index.html)
